Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1714100460.473473,78,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.480192,79,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.4868186,80,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.4934423,81,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.5000713,82,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.5067708,83,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.5134919,84,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.520211,85,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.5268416,86,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.5335288,87,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.5401614,88,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.5467925,89,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.55356,90,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.5601819,91,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.566801,92,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.5735373,93,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.5802114,94,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.5869,95,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.5934715,96,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.6001503,97,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.606799,98,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.6136215,99,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.6202233,100,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.6268258,101,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.633471,102,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.640169,103,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.646771,104,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.65344,105,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.660091,106,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.6667364,107,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.6734693,108,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.6801345,109,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.686724,110,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.6934366,111,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.7001207,112,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.7067692,113,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.713559,114,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.7201493,115,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.726794,116,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.7335696,117,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.7401388,118,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.7468204,119,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.7534914,120,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.7601607,121,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.7668688,122,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.773565,123,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.7802866,124,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.7868927,125,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.793518,126,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.8002076,127,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.8067658,128,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.813505,129,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.8201716,130,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.8268237,131,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.8335834,132,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.8401766,133,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.8469121,134,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.8537276,135,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.8603265,136,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.8669744,137,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714100460.8735788,138,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
